,Type,Subtype,Lat,Long,Depth,Date,YN_Lat,YN_Lon,YN_Depth,Phi,Delta-a,Delta-b,Depth_err,Year,Month,Day,Julday,Hour,Minute,Station,Url
0,LM12,impact_artificial,-3.94,-21.2,0,6911202217,-3.94,-21.2,0,0,0,0,0,1969,11,20,324,22,17,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1969/324/xa.s12.00.mh1.1969.324.0.mseed
1,S-IVB12,impact_artificial,-2.75,-27.86,0,7004150209,-2.75,-27.86,0,0,0,0,0,1970,4,15,105,2,9,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1970/105/xa.s12.00.mh1.1970.105.0.mseed
2,S-IVB14,impact_artificial,-8.09,-26.02,0,7102040740,-8.09,-26.02,0,0,0,0,0,1971,2,4,35,7,40,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1971/35/xa.s12.00.mh1.1971.35.0.mseed
3,LM14,impact_artificial,-3.42,-19.67,0,7102070045,-3.42,-19.67,0,0,0,0,0,1971,2,7,38,0,45,,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1971/38/xa.s12.00.mh1.1971.38.0.mseed
4,S-IVB15,impact_artificial,-1.51,-11.81,0,7107292058,1.51,-11.81,0,0,0,0,0,1971,7,29,210,20,58,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1971/210/xa.s12.00.mh1.1971.210.0.mseed
5,LM15,impact_artificial,26.36,0.25,0,7108030303,26.36,0.25,0,0,0,0,0,1971,8,3,215,3,3,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1971/215/xa.s12.00.mh1.1971.215.0.mseed
6,S-IVB17,impact_artificial,-4.21,-12.31,0,7212102032,-4.21,-12.31,0,0,0,0,0,1972,12,10,345,20,32,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1972/345/xa.s12.00.mh1.1972.345.0.mseed
7,M,impact_natural,1.2,-16.49,0,7205130846,1.5,-17.1,0,52,0.3,0.2,0,1972,5,13,134,8,46,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1972/134/xa.s12.00.mh1.1972.134.0.mseed
8,M,impact_natural,23.42,7.23,0,7207311808,24,10.1,0,-7,0.7,0.3,0,1972,7,31,213,18,8,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1972/213/xa.s12.00.mh1.1972.213.0.mseed
9,M,impact_natural,15.19,20.57,0,7208292258,15.8,22.9,0,20,2.9,1.6,0,1972,8,29,242,22,58,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1972/242/xa.s12.00.mh1.1972.242.0.mseed
10,M,impact_natural,-17.94,-20.74,0,7312241003,-24.8,-25.1,0,59,5.2,1.8,0,1973,12,24,358,10,3,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1973/358/xa.s12.00.mh1.1973.358.0.mseed
11,M,impact_natural,20.35,6.49,0,7407171205,20.3,6.5,0,9,0.8,0.6,0,1974,7,17,198,12,5,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1974/198/xa.s12.00.mh1.1974.198.0.mseed
12,M,impact_natural,-8.88,21.73,0,7411211315,-7.3,19.9,0,52,1,0.7,0,1974,11,21,325,13,15,14,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s14/1974/325/xa.s14.00.mh1.1974.325.0.mseed
13,M,impact_natural,2.44,-8.07,0,7412150907,1.6,-8.2,0,-85,1.3,0.5,0,1974,12,15,349,9,7,14,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s14/1974/349/xa.s14.00.mh1.1974.349.0.mseed
14,M,impact_natural,-49.93,3.42,0,7503052149,-52.4,4.2,0,-77,4,2.3,0,1975,3,5,64,21,49,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1975/64/xa.s12.00.mh1.1975.64.0.mseed
